model,ram_gb,storage_gb,color,battery_health_pct,price_egp,warranty
iPhone 17,8,512,Sage,70,57600,No
iPhone 6 Plus,1,128,Silver,82,2600,No
iPhone 8,2,256,Space Gray,80,11400,No
iPhone X,3,64,Space Gray,74,4500,No
iPhone 17 Pro Max,12,1024,Silver,100,97700,No
iPhone 17,8,512,Sage,81,60600,No
iPhone 12 mini,4,256,Red,96,18100,No
iPhone 17,8,256,Sage,83,57200,No
iPhone XS Max,4,256,Silver,82,15700,No
iPhone 17 Pro,12,1024,Cosmic Orange,89,83600,No
iPhone 16 Plus,8,256,Black,88,48300,No
iPhone 15 Pro,8,128,Black Titanium,76,39800,No
iPhone 6 Plus,1,128,Space Gray,71,1500,Yes
iPhone 7 Plus,3,32,Black,85,4700,No
iPhone 13 mini,4,128,Green,70,10600,Unknown
iPhone XR,3,64,Coral,87,7800,Unknown
iPhone 11 Pro,4,512,Space Gray,99,27600,No
iPhone 12,4,128,White,97,15900,Unknown
iPhone 17e,8,512,White,80,51200,No
iPhone 6 Plus,1,128,Silver,90,5200,No
iPhone 15,6,128,Yellow,90,31300,No
iPhone 15 Pro Max,8,256,Blue Titanium,86,52100,No
iPhone 6,1,64,Silver,82,1500,No
iPhone 16 Pro,8,512,White Titanium,99,62600,No
iPhone 6,1,128,Gold,97,3200,No
iPhone 16 Pro,8,512,Desert Titanium,75,60000,Yes
iPhone 5,1,32,Black,84,2500,No
iPhone 16 Pro,8,512,White Titanium,99,61900,No
iPhone 11 Pro Max,4,256,Midnight Green,84,23800,No
iPhone 6 Plus,1,16,Gold,89,1500,No
iPhone 16 Plus,8,512,Teal,88,50900,No
iPhone XR,3,64,Blue,74,6600,No
iPhone 12 Pro Max,6,512,Gold,84,32400,Yes
iPhone XS Max,4,64,Space Gray,94,12400,No
iPhone 14 Pro Max,6,256,Deep Purple,82,43800,No
iPhone 14 Pro Max,6,128,Deep Purple,100,46200,No
iPhone 17,8,256,Sage,83,56400,No
iPhone 11 Pro,4,256,Gold,91,15700,No
iPhone 12 Pro,6,256,Pacific Blue,85,18000,No
iPhone X,3,256,Silver,85,9900,Yes
iPhone 15 Plus,6,128,Blue,92,40000,Unknown
iPhone 16 Plus,8,256,Black,74,44600,No
iPhone 12 mini,4,64,Black,78,5800,No
iPhone 12 Pro Max,6,128,Gold,87,19900,No
iPhone XS,4,64,Space Gray,79,6000,No
iPhone 6 Plus,1,128,Silver,95,6300,No
iPhone 14 Pro Max,6,256,Deep Purple,80,41400,Yes
iPhone 6s Plus,2,64,Rose Gold,88,3400,No
iPhone 12 mini,4,64,Black,83,9900,No
iPhone 11,4,64,Green,100,13300,Unknown
iPhone 7 Plus,3,128,Black,91,9000,No
iPhone 16,8,512,Teal,87,50600,No
iPhone 14,6,128,Midnight,87,26100,No
iPhone 7,2,128,Black,100,5400,No
iPhone 8,2,256,Space Gray,88,12700,No
iPhone 6 Plus,1,128,Silver,100,6800,No
iPhone 8 Plus,3,128,Red,94,7000,Unknown
iPhone SE (2nd gen),3,128,Red,93,10100,Unknown
iPhone XS,4,64,Space Gray,87,7000,Yes
iPhone 16 Plus,8,128,Pink,73,43400,No
iPhone 15 Plus,6,256,Green,93,46700,Yes
iPhone 17,8,256,White,75,55700,Yes
iPhone 6,1,32,Silver,87,4100,No
iPhone 12 Pro,6,256,Silver,98,27200,Yes
iPhone 12 mini,4,64,Blue,87,11200,No
iPhone 17,8,512,Sage,75,62900,No
iPhone 8 Plus,3,256,Silver,89,12500,No
iPhone 15,6,128,Black,95,31200,Yes
iPhone 5,1,16,Black,86,3500,No
iPhone 13 Pro Max,6,256,Gold,97,39400,No
iPhone 15 Plus,6,128,Green,77,38500,Unknown
iPhone 12 mini,4,128,Purple,80,10200,No
iPhone 7,2,128,Black,92,3900,No
iPhone 6,1,64,Gold,72,1500,No
iPhone 17 Pro,12,1024,Cosmic Orange,92,80500,No
iPhone 12 Pro Max,6,512,Pacific Blue,81,30500,No
iPhone 5s,1,64,Gold,86,3000,Yes
iPhone Air,12,1024,Cloud White,100,71300,Yes
iPhone XR,3,64,White,79,4900,Yes
iPhone 8 Plus,3,64,Gold,84,2900,Unknown
iPhone 16e,8,256,Black,84,38400,Yes
iPhone 6s,2,16,Silver,87,4800,Unknown
iPhone XS,4,256,Silver,84,11300,No
iPhone Air,12,512,Space Black,77,55400,No
iPhone XS Max,4,256,Silver,85,16000,Yes
iPhone 14,6,128,Starlight,93,35700,No
iPhone XS,4,256,Silver,75,10200,No
iPhone 13,4,128,Starlight,80,17300,No
iPhone 16 Pro,8,256,Desert Titanium,76,52900,Unknown
iPhone 15 Pro Max,8,1024,White Titanium,93,66300,No
iPhone 13 Pro,6,512,Graphite,93,37600,Yes
iPhone XS,4,64,Space Gray,86,7100,No
iPhone 13,4,128,Starlight,79,15600,No
iPhone 7,2,128,Jet Black,84,1500,No
iPhone 16,8,256,Pink,92,45500,No
iPhone 13 mini,4,256,Red,94,26100,No
iPhone 17e,8,512,Black,77,47800,No
iPhone 14 Pro Max,6,512,Space Black,87,49100,No
iPhone SE (2nd gen),3,128,Red,92,10600,Yes
iPhone Air,12,1024,Light Gold,93,69300,No
iPhone 16,8,512,Teal,81,49300,No
iPhone 6s,2,64,Gold,87,2600,Yes
iPhone 13 mini,4,128,Red,81,15100,Unknown
iPhone 14 Pro Max,6,128,Deep Purple,91,40600,Unknown
iPhone 14 Plus,6,128,Starlight,73,21300,No
iPhone 11,4,256,Green,92,18800,Unknown
iPhone 13 mini,4,128,Green,81,15300,No
iPhone 6 Plus,1,16,Gold,90,6700,No
iPhone 16,8,256,Pink,90,45800,No
iPhone 17e,8,256,Black,77,39100,No
iPhone 16 Pro,8,1024,Black Titanium,73,66800,No
iPhone 6 Plus,1,128,Space Gray,77,1500,Unknown
iPhone XS,4,256,Silver,81,11600,No
iPhone 13 Pro,6,256,Sierra Blue,81,27500,No
iPhone 7 Plus,3,32,Black,79,4000,No
iPhone 12 mini,4,64,Black,81,8000,Unknown
iPhone 17 Pro Max,12,512,Cosmic Orange,88,81800,No
iPhone 5,1,32,Black,79,5100,Unknown
iPhone 14,6,128,Purple,81,35600,No
iPhone 16e,8,256,White,70,38700,Yes
iPhone 16 Pro Max,8,512,Natural Titanium,75,67700,No
iPhone Air,12,512,Cloud White,87,58600,Unknown
iPhone 15 Pro Max,8,256,Blue Titanium,100,56900,No
iPhone 6s,2,16,Silver,87,3600,Yes
iPhone 7,2,128,Jet Black,77,4000,No
iPhone 12 mini,4,64,Black,74,9500,No
iPhone 5c,1,16,Green,74,1900,No
iPhone 16 Plus,8,512,Teal,93,50700,Yes
iPhone 14 Pro,6,128,Gold,97,34200,No
iPhone 16,8,128,Black,88,40700,No
iPhone 7 Plus,3,32,Red,84,7500,No
iPhone 12,4,64,White,93,12400,No
iPhone 16 Pro Max,8,512,Natural Titanium,81,64500,No
iPhone 16 Pro Max,8,256,Black Titanium,74,60300,Yes
iPhone 11 Pro Max,4,256,Gold,91,20300,Yes
iPhone 7,2,128,Jet Black,83,2800,No
iPhone 14 Pro,6,1024,Deep Purple,77,47100,Yes
iPhone 13,4,256,Midnight,89,25000,Yes
iPhone 14 Pro Max,6,256,Deep Purple,82,40000,No
iPhone X,3,64,Silver,88,9000,Yes
iPhone 16 Plus,8,512,Ultramarine,99,59100,No
iPhone 8,2,256,Space Gray,86,11400,No
iPhone 15 Plus,6,128,Green,77,34400,Unknown
iPhone XS Max,4,256,Silver,85,16800,No
iPhone 6s,2,128,Gold,100,4900,Unknown
iPhone 13 Pro,6,512,Sierra Blue,99,35800,No
iPhone X,3,64,Silver,84,8100,Yes
iPhone 17 Pro Max,12,512,Deep Blue,73,82500,No
iPhone 15 Pro Max,8,256,Blue Titanium,86,51300,No
iPhone 6s Plus,2,64,Rose Gold,87,4200,No
iPhone XR,3,64,Blue,85,7200,No
iPhone 16 Pro Max,8,256,Natural Titanium,100,66300,No
iPhone 8,2,128,Space Gray,83,5400,No
iPhone 8,2,128,Red,86,2600,Unknown
iPhone 14 Pro,6,128,Space Black,89,31400,No
iPhone 13,4,128,Blue,87,18600,No
iPhone 5c,1,8,Green,90,2300,Unknown
iPhone XS Max,4,256,Silver,88,11000,Unknown
iPhone 13 mini,4,128,Red,78,17000,Yes
iPhone 15 Plus,6,256,Green,97,47300,No
iPhone 16e,8,256,Black,79,37900,No
iPhone 6s Plus,2,64,Space Gray,85,1500,Unknown
iPhone 5,1,16,Black,80,3100,Unknown
iPhone 8,2,128,Gold,91,5500,No
iPhone 16 Pro,8,256,Desert Titanium,80,53700,Yes
iPhone 15 Pro,8,512,Natural Titanium,79,54300,No
iPhone 16 Plus,8,128,Pink,96,44000,Unknown
iPhone 17 Pro Max,12,512,Deep Blue,72,79500,No
iPhone 16,8,256,Pink,89,43700,Unknown
iPhone 5c,1,16,Yellow,73,1800,Yes
iPhone 16,8,256,Pink,91,43500,Unknown
iPhone 6 Plus,1,128,Silver,88,5900,No
iPhone 15,6,128,Black,100,32300,Unknown
iPhone 14 Pro Max,6,256,Deep Purple,75,41600,No
iPhone 13 Pro,6,512,Sierra Blue,100,35100,Unknown
iPhone 17,8,512,Black,85,63200,Yes
iPhone 17 Pro Max,12,512,Deep Blue,79,82100,Unknown
iPhone 5c,1,16,Blue,80,1500,No
iPhone 15,6,128,Black,93,38200,Yes
iPhone 12 Pro Max,6,128,Gold,74,19000,No
iPhone 5,1,32,Black,87,4400,Unknown
iPhone 14 Pro,6,512,Silver,92,42600,Unknown
iPhone 6 Plus,1,128,Silver,96,3500,No
iPhone 15 Pro,8,256,White Titanium,89,50400,Yes
iPhone 11,4,64,Red,83,8700,No
iPhone 5s,1,32,Gold,83,1900,Unknown
iPhone 6s Plus,2,16,Gold,87,2200,Unknown
iPhone 14 Pro Max,6,256,Silver,90,41800,No
iPhone 6s,2,32,Silver,100,5500,No
iPhone 13 Pro Max,6,128,Graphite,91,35900,No
iPhone 11 Pro Max,4,256,Space Gray,95,23300,No
iPhone 12,4,128,Blue,82,11200,Unknown
iPhone 16 Pro Max,8,1024,White Titanium,77,78500,Yes
iPhone 5,1,64,White,86,2600,Unknown
iPhone 17e,8,512,White,82,52600,Yes
iPhone 5s,1,64,Gold,95,3000,Unknown
iPhone X,3,64,Silver,87,9300,No
iPhone 14 Pro,6,128,Gold,94,34600,Yes
iPhone 6 Plus,1,128,Silver,88,3000,No
iPhone 14 Pro,6,512,Deep Purple,94,44500,No
iPhone 6,1,64,Space Gray,100,5600,Yes
iPhone 5c,1,16,Yellow,86,3400,Yes
iPhone 17,8,512,Black,80,63200,Yes
iPhone 6s Plus,2,64,Space Gray,85,2900,No
iPhone 14 Pro,6,512,Deep Purple,91,42100,Yes
iPhone 5c,1,8,Green,83,2000,Unknown
iPhone 13,4,128,Starlight,86,26900,Yes
iPhone 13 mini,4,256,Red,91,20900,No
iPhone 7,2,256,Red,98,7900,No
iPhone 17,8,512,Sage,86,61300,Yes
iPhone 15 Pro,8,128,Black Titanium,78,41800,No
iPhone 6s Plus,2,64,Space Gray,86,2500,Unknown
iPhone 8 Plus,3,128,Gold,93,8200,No
iPhone 13 mini,4,128,Red,84,14000,No
iPhone 14 Pro Max,6,1024,Silver,93,59600,Unknown
iPhone Air,12,512,Space Black,75,58500,No
iPhone 14,6,512,Starlight,97,40400,No
iPhone 12,4,256,Black,80,19500,Yes
iPhone Air,12,1024,Cloud White,74,64200,Unknown
iPhone 5c,1,16,Yellow,85,3700,Yes
iPhone 15 Pro,8,256,White Titanium,70,41600,No
iPhone 15 Pro,8,256,White Titanium,81,48100,Unknown
iPhone 8,2,256,Space Gray,100,12200,No
iPhone 17 Pro,12,1024,Cosmic Orange,70,76200,Yes
iPhone 14 Pro Max,6,1024,Deep Purple,73,56700,No
iPhone 12 Pro Max,6,128,Gold,79,21400,Yes
iPhone 14 Pro Max,6,1024,Deep Purple,83,61600,No
iPhone 14,6,128,Red,86,28000,No
iPhone 12 Pro Max,6,512,Pacific Blue,82,30100,No
iPhone 17 Pro,12,1024,Cosmic Orange,70,86700,No
iPhone 16 Pro,8,512,Desert Titanium,75,59200,No
iPhone 12,4,128,Blue,92,17500,No
iPhone SE (2nd gen),3,128,Red,92,8800,No
iPhone XS,4,256,Gold,77,12200,No
iPhone 11 Pro,4,256,Gold,87,16300,Yes
iPhone SE (2nd gen),3,256,White,85,11900,No
iPhone 11 Pro,4,256,Midnight Green,78,20000,No
iPhone 6s,2,32,Silver,100,5000,Yes
iPhone 6s,2,64,Gold,100,4100,Yes
iPhone 12 Pro,6,128,Silver,91,25200,Yes
iPhone X,3,64,Silver,89,9800,Unknown
iPhone 7,2,256,Silver,83,11000,Yes
iPhone 14 Plus,6,256,Blue,75,33500,Unknown
iPhone 17,8,256,Lavender,80,57500,No
iPhone 7,2,256,Silver,72,9100,Unknown
iPhone XR,3,64,Coral,89,8800,Unknown
iPhone 13 Pro Max,6,128,Gold,79,30900,No
iPhone 15,6,512,Black,82,44900,No
iPhone 12 mini,4,64,Black,75,10200,Yes
iPhone 16,8,256,Pink,85,43600,No
iPhone 12 mini,4,64,Blue,85,12500,Unknown
iPhone 14 Plus,6,512,Midnight,99,43400,Yes
iPhone 17,8,512,Black,72,62100,Unknown
iPhone 15 Pro,8,1024,White Titanium,98,62600,Unknown
iPhone 17 Pro Max,12,1024,Silver,87,95400,Unknown
iPhone 8 Plus,3,64,Gold,79,1500,No
iPhone 5s,1,32,Gold,83,2200,Yes
iPhone 14,6,512,Starlight,91,36600,No
iPhone 7 Plus,3,32,Gold,77,1500,Unknown
iPhone 17 Pro,12,1024,Cosmic Orange,79,87000,No
iPhone 5s,1,16,Space Gray,75,1500,Yes
iPhone 14 Pro Max,6,256,Deep Purple,76,40700,No
iPhone 13,4,128,Pink,91,22300,Yes
iPhone 12 Pro Max,6,512,Pacific Blue,87,31600,Unknown
iPhone 6 Plus,1,128,Space Gray,86,2300,No
iPhone XR,3,128,Black,82,8700,Yes
iPhone 13 Pro Max,6,128,Graphite,84,29400,Yes
iPhone 16e,8,256,White,70,39500,Yes
iPhone XS,4,64,Silver,84,8000,No
iPhone 14,6,512,Starlight,84,37100,No
iPhone 13,4,128,Blue,76,17900,Unknown
iPhone 16 Plus,8,256,Pink,99,54300,No
iPhone 6,1,128,Space Gray,73,1500,Unknown
iPhone 15 Pro,8,1024,White Titanium,93,62100,No
iPhone 14 Plus,6,512,Midnight,85,41700,Unknown
iPhone Air,12,512,Space Black,78,56000,Yes
iPhone SE (2nd gen),3,256,White,76,11300,Unknown
iPhone 14 Pro,6,512,Silver,84,46100,Yes
iPhone 13 Pro Max,6,256,Alpine Green,82,37400,No
iPhone XS Max,4,256,Silver,84,17800,No
iPhone SE (2nd gen),3,128,Red,89,8300,No
iPhone 13 mini,4,512,Red,91,29000,No
iPhone 16,8,512,Black,76,47300,No
iPhone 15,6,128,Black,85,33600,Yes
iPhone 13 Pro,6,512,Sierra Blue,88,35700,No
iPhone 8,2,128,Red,76,1500,No
iPhone 13 Pro Max,6,256,Gold,100,43000,No
iPhone 6,1,128,Gold,92,2900,No
iPhone 16 Pro Max,8,256,Black Titanium,74,62100,No
iPhone 15 Pro,8,256,White Titanium,81,45500,No
iPhone 11 Pro,4,64,Silver,94,11700,No
iPhone 8 Plus,3,128,Red,73,6600,No
iPhone X,3,64,Silver,83,7100,Yes
iPhone XS Max,4,256,Silver,82,15600,No
iPhone 12 Pro,6,128,Pacific Blue,89,22800,Yes
iPhone 17,8,512,Black,81,62300,No
iPhone 14 Pro Max,6,128,Space Black,81,38500,No
iPhone 17 Pro,12,256,Deep Blue,70,66800,Yes
iPhone XS Max,4,64,Space Gray,95,13100,No
iPhone 12 Pro,6,256,Silver,95,24600,No
iPhone 13,4,256,Midnight,79,24300,Unknown
iPhone 17 Pro,12,1024,Cosmic Orange,77,84800,No
iPhone 8 Plus,3,64,Gold,82,1900,Unknown
iPhone 15 Pro,8,128,Black Titanium,78,42700,No
iPhone 17 Pro,12,1024,Cosmic Orange,76,81500,Unknown
iPhone 6s Plus,2,64,Space Gray,91,3300,No
iPhone 5c,1,32,Pink,90,5400,No
iPhone 6,1,32,Gold,80,2700,No
iPhone 7 Plus,3,32,Jet Black,79,4500,No
iPhone 16 Pro,8,128,Desert Titanium,87,50900,No
iPhone XR,3,64,Coral,96,6400,No
iPhone 6s,2,16,Silver,95,6800,No
iPhone 5,1,32,White,92,5300,Unknown
iPhone 17 Pro,12,256,Deep Blue,90,69500,Unknown
iPhone 5c,1,16,Green,80,3600,No
iPhone 12 Pro Max,6,512,Gold,82,32000,Yes
iPhone SE (2nd gen),3,128,Red,81,5900,No
iPhone 13 mini,4,128,Red,82,19700,No
iPhone 16 Pro,8,1024,Desert Titanium,88,66200,No
iPhone 7,2,128,Rose Gold,100,8100,No
iPhone 13 mini,4,512,Green,86,28200,Unknown
iPhone 16 Pro Max,8,256,Black Titanium,92,67000,No
iPhone 17,8,256,Lavender,85,58400,Yes
iPhone 13,4,128,Red,86,22900,No
iPhone 14 Pro Max,6,128,Space Black,88,41800,Yes
iPhone 12 Pro Max,6,256,Graphite,79,30700,Yes
iPhone Air,12,1024,Light Gold,85,71600,Yes
iPhone 13 Pro,6,256,Sierra Blue,100,32300,No
iPhone 7 Plus,3,256,Red,79,6300,No
iPhone 13 Pro Max,6,256,Graphite,87,40400,Unknown
iPhone Air,12,512,Space Black,87,60800,Yes
iPhone 13 Pro Max,6,512,Alpine Green,83,42100,No
iPhone 6 Plus,1,128,Silver,83,6000,Yes
iPhone 14 Pro Max,6,256,Deep Purple,75,37900,No
iPhone 12 mini,4,256,Red,98,18800,Yes
iPhone XS Max,4,256,Space Gray,70,14200,No
iPhone 5s,1,32,Gold,81,2700,Yes
iPhone 15 Pro Max,8,1024,White Titanium,82,69800,Unknown
iPhone 17 Pro,12,1024,Cosmic Orange,79,79000,No
iPhone 5c,1,16,Blue,93,4300,No
iPhone 17,8,256,Sage,84,56500,No
iPhone 13 Pro,6,256,Sierra Blue,98,33400,No
iPhone SE (2nd gen),3,128,Black,85,8500,Yes
iPhone 17 Pro Max,12,512,Cosmic Orange,88,82200,No
iPhone 16 Pro Max,8,256,Black Titanium,70,60500,Yes
iPhone 17e,8,512,White,76,46700,No
iPhone 16 Plus,8,512,Teal,81,51500,Unknown
iPhone 14 Pro,6,128,Gold,99,31300,Unknown
iPhone 16,8,512,Black,82,48500,No
iPhone 8 Plus,3,64,Gold,91,8100,Yes
iPhone 13,4,128,Starlight,83,18900,Yes
iPhone 13 Pro,6,128,Gold,100,24300,No
iPhone 16e,8,256,White,85,37500,Unknown
iPhone XS,4,256,Silver,82,10100,Unknown
iPhone 12 Pro Max,6,128,Silver,70,21800,Yes
iPhone 16,8,128,Black,92,46900,Yes
iPhone 6 Plus,1,128,Silver,91,4600,No
iPhone 12,4,64,Black,81,9900,Yes
iPhone 16,8,512,Black,80,48000,Unknown
iPhone XR,3,128,Black,81,8000,No
iPhone 8,2,128,Red,95,8900,Unknown
iPhone 14 Pro Max,6,128,Space Black,84,40000,No
iPhone 16e,8,256,Black,85,38900,Yes
iPhone XS Max,4,256,Silver,77,14900,No
iPhone 5,1,32,Black,81,4300,Unknown
iPhone 15 Pro Max,8,256,Black Titanium,88,54800,No
iPhone XR,3,64,Coral,88,7600,No
iPhone 12 Pro Max,6,128,Gold,80,23000,Unknown
iPhone 17 Pro Max,12,1024,Cosmic Orange,78,89500,No
iPhone 17 Pro Max,12,512,Cosmic Orange,90,81500,Unknown
iPhone 13,4,512,Midnight,75,28800,No
iPhone SE (2nd gen),3,128,Red,89,8400,No
iPhone 17,8,512,Black,77,63400,Unknown
iPhone 15 Pro Max,8,1024,Blue Titanium,83,64100,Yes
iPhone 8,2,128,Space Gray,83,3000,Unknown
iPhone XR,3,64,Blue,83,8000,Yes
iPhone 5s,1,16,Silver,80,1500,Unknown
iPhone 12,4,256,Black,75,19400,No
iPhone XS Max,4,64,Silver,73,7000,Unknown
iPhone X,3,64,Space Gray,74,5100,No
iPhone 16 Pro,8,1024,Desert Titanium,93,66600,No
iPhone 7,2,256,Silver,82,10200,No
iPhone 12,4,256,Black,91,19800,No
iPhone 16 Pro Max,8,512,Natural Titanium,89,65500,Yes
iPhone 16 Pro Max,8,512,Natural Titanium,82,65800,No
iPhone X,3,64,Silver,84,7600,Yes
iPhone 16,8,128,Pink,90,41300,Yes
iPhone 6s,2,32,Rose Gold,91,2100,No
iPhone 16,8,512,Teal,83,47200,No
iPhone 12,4,128,Blue,81,11300,Yes
iPhone 12 Pro,6,128,Silver,93,19900,Unknown
iPhone 12 Pro Max,6,512,Pacific Blue,89,31400,No
iPhone 17,8,512,Black,100,69800,No
iPhone 5c,1,16,Blue,76,1600,No
iPhone SE (2nd gen),3,128,Black,81,7000,No
iPhone 7,2,32,Gold,86,5600,Unknown
iPhone 17e,8,256,Black,76,39000,Yes
iPhone 17,8,256,Lavender,81,54200,No
iPhone 12 Pro Max,6,128,Silver,78,23000,No
iPhone XR,3,64,White,80,5100,No
iPhone 14,6,128,Blue,89,28700,No
iPhone 14 Pro,6,256,Space Black,93,38300,No
iPhone 11 Pro,4,256,Gold,94,18700,No
iPhone 17 Pro Max,12,512,Cosmic Orange,91,83900,Unknown
iPhone SE (2nd gen),3,128,Red,91,9900,Yes
iPhone 6,1,32,Gold,83,2500,Yes
iPhone 17 Pro Max,12,2048,Cosmic Orange,95,100300,Unknown
iPhone 15 Pro Max,8,1024,White Titanium,89,74900,Unknown
iPhone 5s,1,16,Gold,87,4200,No
iPhone 6 Plus,1,128,Space Gray,85,1900,No
iPhone 8 Plus,3,128,Silver,84,6900,No
iPhone 7 Plus,3,256,Red,89,8700,Yes
iPhone 6s,2,128,Gold,89,4500,No
iPhone 15,6,128,Blue,99,30100,No
iPhone 11 Pro Max,4,256,Space Gray,92,24000,Unknown
iPhone 5,1,32,Black,83,3200,No
iPhone 16 Pro Max,8,1024,White Titanium,92,77400,No
iPhone 7 Plus,3,128,Silver,79,1600,No
iPhone 6,1,128,Gold,84,3800,Yes
iPhone 14 Pro Max,6,128,Gold,98,40000,No
iPhone 16 Pro Max,8,1024,White Titanium,85,73300,No
iPhone 6s Plus,2,16,Rose Gold,90,7200,Yes
iPhone 8 Plus,3,64,Red,98,5800,No
iPhone 13 mini,4,128,Green,74,10900,No
iPhone 7,2,256,Silver,78,9000,Unknown
iPhone XS,4,64,Silver,83,8000,No
iPhone 16,8,128,Black,87,40800,Unknown
iPhone 17 Pro Max,12,1024,Cosmic Orange,83,94300,No
iPhone 16,8,128,Pink,95,40800,Yes
iPhone 17 Pro,12,512,Cosmic Orange,92,77400,Unknown
iPhone 12 mini,4,256,Red,78,19700,No
iPhone 16 Plus,8,512,Ultramarine,96,56000,No
iPhone 12 mini,4,256,White,92,17600,No
iPhone 13,4,256,Pink,95,29900,Yes
iPhone 12,4,256,Black,78,19000,Yes
iPhone 5c,1,16,Green,85,2200,No
iPhone SE (2nd gen),3,256,White,96,14500,Yes
iPhone 14 Pro Max,6,128,Deep Purple,81,39100,No
iPhone 14 Pro,6,1024,Deep Purple,79,50300,No
iPhone 12 mini,4,256,White,96,17900,No
iPhone 15 Pro Max,8,1024,Black Titanium,94,74600,Yes
iPhone 13,4,512,Midnight,86,29600,No
iPhone 8,2,128,Red,77,1500,No
iPhone 12,4,256,Black,72,19700,Unknown
iPhone 6s Plus,2,32,Space Gray,92,6300,Unknown
iPhone 13 mini,4,512,Green,87,28100,Unknown
iPhone 6,1,64,Gold,75,1500,No
iPhone 7,2,32,Gold,94,8800,No
iPhone 5,1,32,Black,72,5000,No
iPhone 15 Pro Max,8,256,Black Titanium,84,55900,No
iPhone X,3,64,Silver,90,7100,No
iPhone 6s,2,64,Rose Gold,77,1500,No
iPhone 16e,8,256,Black,82,37500,No
iPhone 16 Plus,8,256,Pink,85,48300,No
iPhone 14,6,512,Starlight,98,40100,No
iPhone 14,6,128,Blue,97,28300,No
iPhone 7,2,128,Red,84,2400,Unknown
iPhone 15 Plus,6,128,Blue,93,39500,Unknown
iPhone 6,1,64,Silver,81,2200,No
iPhone 17,8,256,Sage,88,56100,No
iPhone 13 Pro Max,6,128,Alpine Green,83,32600,No
iPhone XS,4,256,Gold,83,14100,Yes
iPhone 6 Plus,1,128,Silver,90,2500,No
iPhone 16 Pro Max,8,256,Natural Titanium,100,66000,No
iPhone 16 Plus,8,512,Ultramarine,82,55900,No
iPhone 12,4,256,Black,85,19800,Unknown
iPhone 6s,2,16,Silver,84,4800,Unknown
iPhone 16 Plus,8,512,Ultramarine,81,56500,No
iPhone 5,1,32,Black,76,1500,No
iPhone 12 mini,4,64,Black,72,7400,Unknown
iPhone 16 Plus,8,512,Ultramarine,77,55600,No
iPhone 6s Plus,2,128,Space Gray,95,4200,No
iPhone 6 Plus,1,128,Space Gray,87,3700,Yes
iPhone 16e,8,256,Black,98,40600,No
iPhone 14 Plus,6,256,Purple,84,31300,Unknown
iPhone 6 Plus,1,128,Silver,86,3800,Unknown
iPhone 14 Plus,6,512,Blue,86,36500,No
iPhone XR,3,64,White,89,7700,Yes
iPhone XR,3,64,Red,84,6000,Unknown
iPhone 12,4,128,Blue,84,15100,Unknown
iPhone 14 Pro,6,512,Deep Purple,92,39800,No
iPhone 14,6,128,Starlight,87,35500,No
iPhone 15 Plus,6,256,Green,96,45500,Unknown
iPhone 12 Pro Max,6,128,Gold,75,20900,No
iPhone 15 Pro,8,256,White Titanium,94,51500,No
iPhone 13 Pro Max,6,128,Graphite,95,31500,No
iPhone 16e,8,128,Black,92,36600,No
iPhone 12 Pro,6,256,Silver,92,26900,No
iPhone SE (2nd gen),3,128,Red,89,10400,Yes
iPhone 12 Pro,6,256,Silver,93,22900,Unknown
iPhone 11,4,64,Green,95,14600,Unknown
iPhone 16 Pro Max,8,512,Natural Titanium,88,69000,No
iPhone SE (2nd gen),3,128,Red,86,8100,No
iPhone 16 Plus,8,128,Teal,70,45000,Unknown
iPhone 17 Pro,12,1024,Cosmic Orange,83,85200,No
iPhone XR,3,64,Coral,91,7700,Unknown
iPhone XS Max,4,256,Silver,89,12900,Unknown
iPhone 15 Pro,8,128,Black Titanium,75,43700,Unknown
iPhone 16,8,128,Pink,86,38500,Unknown
iPhone 15,6,128,Yellow,92,35200,No
iPhone 17e,8,256,White,91,47900,No
iPhone 17,8,256,Sage,96,59500,No
iPhone 16 Plus,8,128,Teal,72,45000,Yes
iPhone 17e,8,256,White,73,45300,No
iPhone SE (2nd gen),3,128,Black,81,6900,Unknown
iPhone 15 Pro Max,8,256,Blue Titanium,93,52300,No
iPhone 17,8,512,Black,77,62700,No
iPhone 14 Pro Max,6,128,Deep Purple,84,39000,No
iPhone 6,1,32,Gold,82,2600,No
iPhone 6 Plus,1,16,Gold,96,7500,Yes
iPhone 11 Pro Max,4,64,Midnight Green,85,14000,No
iPhone 8 Plus,3,128,Gold,90,8400,Unknown
iPhone 12 mini,4,128,Purple,74,11300,No
iPhone Air,12,512,Cloud White,89,60400,No
iPhone 14,6,128,Blue,97,27000,No
iPhone 15 Plus,6,128,Blue,95,41200,No
iPhone 12 Pro,6,128,Gold,89,20800,No
iPhone 14,6,128,Starlight,94,34000,Yes
iPhone 15,6,128,Black,88,38100,Yes
iPhone 16,8,256,Pink,92,44000,No
iPhone 15,6,128,Black,85,36600,No
iPhone XS,4,64,Silver,75,3300,No
iPhone 17,8,512,Sage,73,59200,Unknown
iPhone XS Max,4,256,Space Gray,71,15700,No
iPhone 5c,1,16,Yellow,78,1500,Unknown
iPhone XR,3,64,Blue,85,7100,Unknown
iPhone 12 mini,4,128,Blue,89,14400,Yes
iPhone 15 Plus,6,128,Yellow,78,37400,No
iPhone XR,3,64,Coral,86,9100,Unknown
